genotype,odor,response.time,experimenter,date
N2,30pct,5.19,TB,2022-01-19
N2,30pct,6.68,TB,2022-01-19
N2,30pct,4.7,TB,2022-01-19
N2,30pct,7.28,TB,2022-01-19
N2,30pct,5.8,TB,2022-01-19
N2,30pct,6.45,TB,2022-01-19
N2,30pct,5.13,TB,2022-01-19
N2,30pct,4.18,TB,2022-01-19
N2,30pct,6.54,TB,2022-01-19
N2,30pct,7.21,TB,2022-01-19
N2,30pct,6.95,TB,2022-01-19
N2,30pct,4.49,TB,2022-01-19
N2,30pct,3.26,TB,2022-01-19
N2,30pct,5.01,TB,2022-01-19
N2,30pct,3.86,TB,2022-01-19
N2,30pct,4.09,TB,2022-01-19
N2,30pct,2.89,TB,2022-01-19
N2,30pct,4.33,TB,2022-01-19
cest-2.1,30pct,3.22,TB,2022-01-19
cest-2.1,30pct,3.26,TB,2022-01-19
cest-2.1,30pct,4.59,TB,2022-01-19
cest-2.1,30pct,2.67,TB,2022-01-19
cest-2.1,30pct,5.7,TB,2022-01-19
cest-2.1,30pct,6.23,TB,2022-01-19
cest-2.1,30pct,4.48,TB,2022-01-19
cest-2.1,30pct,4.67,TB,2022-01-19
cest-2.1,30pct,3.31,TB,2022-01-19
cest-2.1,30pct,6.21,TB,2022-01-19
cest-2.1,30pct,5.92,TB,2022-01-19
cest-2.1,30pct,4.5,TB,2022-01-19
cest-2.1,30pct,4.01,TB,2022-01-19
cest-2.1,30pct,6.28,TB,2022-01-19
cest-2.1,30pct,3.3,TB,2022-01-19
cest-2.1,30pct,4.59,TB,2022-01-19
cest-2.1,30pct,7.34,TB,2022-01-19
cest-2.1,30pct,5.89,TB,2022-01-19
cest-2.1,30pct,6.01,TB,2022-01-19
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
