Genotype,Condition,Odor,Response.time,Experimenter,Date,Average,NR
N2,control,30pct,12.31,TB,2024-01-21,,
N2,control,30pct,4.84,TB,2024-01-21,,
N2,control,30pct,7.8,TB,2024-01-21,,
N2,control,30pct,16.57,TB,2024-01-21,,
N2,control,30pct,2.91,TB,2024-01-21,,
N2,control,30pct,7.35,TB,2024-01-21,,
N2,control,30pct,3.97,TB,2024-01-21,,
N2,control,30pct,5.01,TB,2024-01-21,,
N2,control,30pct,8.1,TB,2024-01-21,,
N2,control,30pct,8.21,TB,2024-01-21,,
N2,control,30pct,17.05,TB,2024-01-21,,
N2,control,30pct,6.88,TB,2024-01-21,,
N2,control,30pct,2.29,TB,2024-01-21,,
N2,control,30pct,17.94,TB,2024-01-21,,
N2,control,30pct,4.94,TB,2024-01-21,,
N2,control,30pct,18.7,TB,2024-01-21,,
N2,control,30pct,3.38,TB,2024-01-21,,
N2,control,30pct,9.2,TB,2024-01-21,,
N2,control,30pct,3.46,TB,2024-01-21,,
N2,control,30pct,9.63,TB,2024-01-21,,
N2,control,30pct,15.16,TB,2024-01-21,,
N2,control,30pct,11.51,TB,2024-01-21,,
N2,control,30pct,10.49,TB,2024-01-21,9.030434783,3
tbh-1,control,30pct,4.23,TB,2024-01-21,,
tbh-1,control,30pct,5.68,TB,2024-01-21,,
tbh-1,control,30pct,9.97,TB,2024-01-21,,
tbh-1,control,30pct,4.18,TB,2024-01-21,,
tbh-1,control,30pct,13.78,TB,2024-01-21,,
tbh-1,control,30pct,2.46,TB,2024-01-21,,
tbh-1,control,30pct,8.51,TB,2024-01-21,,
tbh-1,control,30pct,1.53,TB,2024-01-21,,
tbh-1,control,30pct,3.77,TB,2024-01-21,,
tbh-1,control,30pct,8.21,TB,2024-01-21,,
tbh-1,control,30pct,8.13,TB,2024-01-21,,
tbh-1,control,30pct,6.31,TB,2024-01-21,,
tbh-1,control,30pct,7.62,TB,2024-01-21,,
tbh-1,control,30pct,5.75,TB,2024-01-21,,
tbh-1,control,30pct,7.98,TB,2024-01-21,,
tbh-1,control,30pct,2.37,TB,2024-01-21,,
tbh-1,control,30pct,1.41,TB,2024-01-21,,
tbh-1,control,30pct,1.13,TB,2024-01-21,5.723333333,1
cest-2.1,control,30pct,6.27,TB,2024-01-21,,
cest-2.1,control,30pct,11.12,TB,2024-01-21,,
cest-2.1,control,30pct,9.42,TB,2024-01-21,,
cest-2.1,control,30pct,6.22,TB,2024-01-21,,
cest-2.1,control,30pct,4.15,TB,2024-01-21,,
cest-2.1,control,30pct,1.64,TB,2024-01-21,,
cest-2.1,control,30pct,4.27,TB,2024-01-21,,
cest-2.1,control,30pct,1.18,TB,2024-01-21,,
cest-2.1,control,30pct,5.51,TB,2024-01-21,,
cest-2.1,control,30pct,8.75,TB,2024-01-21,,
cest-2.1,control,30pct,3.47,TB,2024-01-21,,
cest-2.1,control,30pct,1.71,TB,2024-01-21,,
cest-2.1,control,30pct,5.81,TB,2024-01-21,,
cest-2.1,control,30pct,2.84,TB,2024-01-21,,
cest-2.1,control,30pct,6.2,TB,2024-01-21,,
cest-2.1,control,30pct,6.65,TB,2024-01-21,,
cest-2.1,control,30pct,7.03,TB,2024-01-21,,
cest-2.1,control,30pct,2.02,TB,2024-01-21,,
cest-2.1,control,30pct,3.43,TB,2024-01-21,,
cest-2.1,control,30pct,7.19,TB,2024-01-21,,
cest-2.1,control,30pct,1.54,TB,2024-01-21,5.067619048,2
cest-2.1,4mMOA,30pct,13.95,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,9.19,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,4.35,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,14.93,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,8.37,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,4.83,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,13.16,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,14.2,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,9.05,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,13.26,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,11.07,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,8.08,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,10.25,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,14.19,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,11.31,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,9.03,TB,2024-01-21,,
cest-2.1,4mMOA,30pct,5.41,TB,2024-01-21,10.27235294,2
N2,4mMOA,30pct,11.47,TB,2024-01-21,,
N2,4mMOA,30pct,17.31,TB,2024-01-21,,
N2,4mMOA,30pct,12.16,TB,2024-01-21,,
N2,4mMOA,30pct,5.89,TB,2024-01-21,,
N2,4mMOA,30pct,7.53,TB,2024-01-21,,
N2,4mMOA,30pct,6.63,TB,2024-01-21,,
N2,4mMOA,30pct,10.01,TB,2024-01-21,,
N2,4mMOA,30pct,13.61,TB,2024-01-21,,
N2,4mMOA,30pct,9.75,TB,2024-01-21,,
N2,4mMOA,30pct,11.33,TB,2024-01-21,,
N2,4mMOA,30pct,4.08,TB,2024-01-21,,
N2,4mMOA,30pct,13.42,TB,2024-01-21,,
N2,4mMOA,30pct,8.45,TB,2024-01-21,,
N2,4mMOA,30pct,6.38,TB,2024-01-21,,
N2,4mMOA,30pct,3.73,TB,2024-01-21,,
N2,4mMOA,30pct,14.58,TB,2024-01-21,,
N2,4mMOA,30pct,5.84,TB,2024-01-21,,
N2,4mMOA,30pct,12.79,TB,2024-01-21,,
N2,4mMOA,30pct,6.94,TB,2024-01-21,,
N2,4mMOA,30pct,2.83,TB,2024-01-21,9.2365,3
tbh-1,4mMOA,30pct,3.87,TB,2024-01-21,,
tbh-1,4mMOA,30pct,8.87,TB,2024-01-21,,
tbh-1,4mMOA,30pct,11.45,TB,2024-01-21,,
tbh-1,4mMOA,30pct,3.99,TB,2024-01-21,,
tbh-1,4mMOA,30pct,10.46,TB,2024-01-21,,
tbh-1,4mMOA,30pct,7.17,TB,2024-01-21,,
tbh-1,4mMOA,30pct,8.01,TB,2024-01-21,,
tbh-1,4mMOA,30pct,3.46,TB,2024-01-21,,
tbh-1,4mMOA,30pct,17.74,TB,2024-01-21,,
tbh-1,4mMOA,30pct,14.38,TB,2024-01-21,,
tbh-1,4mMOA,30pct,1.13,TB,2024-01-21,,
tbh-1,4mMOA,30pct,4.19,TB,2024-01-21,,
tbh-1,4mMOA,30pct,6.79,TB,2024-01-21,,
tbh-1,4mMOA,30pct,3.04,TB,2024-01-21,,
tbh-1,4mMOA,30pct,8.21,TB,2024-01-21,,
tbh-1,4mMOA,30pct,12.52,TB,2024-01-21,7.83,2
N2,control,30pct,7.16,TB,2024-01-30,,
N2,control,30pct,7.54,TB,2024-01-30,,
N2,control,30pct,6.62,TB,2024-01-30,,
N2,control,30pct,6.68,TB,2024-01-30,,
N2,control,30pct,1.51,TB,2024-01-30,,
N2,control,30pct,2.13,TB,2024-01-30,,
N2,control,30pct,3.95,TB,2024-01-30,,
N2,control,30pct,5.29,TB,2024-01-30,,
N2,control,30pct,5.45,TB,2024-01-30,,
N2,control,30pct,5.51,TB,2024-01-30,,
N2,control,30pct,13.51,TB,2024-01-30,,
N2,control,30pct,15.69,TB,2024-01-30,,
N2,control,30pct,2.81,TB,2024-01-30,,
N2,control,30pct,16.04,TB,2024-01-30,,
N2,control,30pct,12.68,TB,2024-01-30,,
N2,control,30pct,19.82,TB,2024-01-30,,
N2,control,30pct,11.71,TB,2024-01-30,,
