Genotype,Condition,Odor,Response.time,Experimenter,Date
N2,OP50,100pct,1.44,MD,2022-06-24
N2,OP50,100pct,1.51,MD,2022-06-24
N2,OP50,100pct,2.16,MD,2022-06-24
N2,OP50,100pct,2.63,MD,2022-06-24
N2,OP50,100pct,2.73,MD,2022-06-24
N2,OP50,100pct,2.86,MD,2022-06-24
N2,OP50,100pct,2.99,MD,2022-06-24
N2,OP50,100pct,4.54,MD,2022-06-24
N2,OP50,100pct,4.61,MD,2022-06-24
N2,OP50,100pct,4.73,MD,2022-06-24
N2,OP50,100pct,5.18,MD,2022-06-24
N2,OP50,100pct,5.29,MD,2022-06-24
N2,OP50,100pct,7.59,MD,2022-06-24
N2,OP50,100pct,13.08,MD,2022-06-24
cest-2.1,OP50,100pct,2.19,MD,2022-06-24
cest-2.1,OP50,100pct,3.54,MD,2022-06-24
cest-2.1,OP50,100pct,1.63,MD,2022-06-24
cest-2.1,OP50,100pct,4.79,MD,2022-06-24
cest-2.1,OP50,100pct,2.11,MD,2022-06-24
cest-2.1,OP50,100pct,4.09,MD,2022-06-24
cest-2.1,OP50,100pct,2.14,MD,2022-06-24
cest-2.1,OP50,100pct,2.08,MD,2022-06-24
cest-2.1,OP50,100pct,2.01,MD,2022-06-24
cest-2.1,OP50,100pct,2.31,MD,2022-06-24
cest-2.1,OP50,100pct,2.54,MD,2022-06-24
cest-2.1,OP50,100pct,2.86,MD,2022-06-24
cest-2.1,OP50,100pct,5.29,MD,2022-06-24
cest-2.1,OP50,100pct,2.48,MD,2022-06-24
cest-2.1,OP50,100pct,3.46,MD,2022-06-24
N2,JUb39,100pct,2.53,MD,2022-06-24
N2,JUb39,100pct,2.58,MD,2022-06-24
N2,JUb39,100pct,2.69,MD,2022-06-24
N2,JUb39,100pct,2.86,MD,2022-06-24
N2,JUb39,100pct,3.03,MD,2022-06-24
N2,JUb39,100pct,3.78,MD,2022-06-24
N2,JUb39,100pct,4.01,MD,2022-06-24
N2,JUb39,100pct,4.04,MD,2022-06-24
N2,JUb39,100pct,4.08,MD,2022-06-24
N2,JUb39,100pct,4.13,MD,2022-06-24
N2,JUb39,100pct,4.14,MD,2022-06-24
N2,JUb39,100pct,5.98,MD,2022-06-24
N2,JUb39,100pct,6.56,MD,2022-06-24
N2,JUb39,100pct,9.54,MD,2022-06-24
N2,JUb39,100pct,14.91,MD,2022-06-24
cest-2.1,JUb39,100pct,5.59,MD,2022-06-24
cest-2.1,JUb39,100pct,1.51,MD,2022-06-24
cest-2.1,JUb39,100pct,2.08,MD,2022-06-24
cest-2.1,JUb39,100pct,3.36,MD,2022-06-24
cest-2.1,JUb39,100pct,1.98,MD,2022-06-24
cest-2.1,JUb39,100pct,2.74,MD,2022-06-24
cest-2.1,JUb39,100pct,2.66,MD,2022-06-24
cest-2.1,JUb39,100pct,8.58,MD,2022-06-24
cest-2.1,JUb39,100pct,3.86,MD,2022-06-24
cest-2.1,JUb39,100pct,2.53,MD,2022-06-24
cest-2.1,JUb39,100pct,1.76,MD,2022-06-24
cest-2.1,JUb39,100pct,3.48,MD,2022-06-24
cest-2.1,JUb39,100pct,1.58,MD,2022-06-24
cest-2.1,JUb39,100pct,4.34,MD,2022-06-24
cest-2.1,JUb39,100pct,1.84,MD,2022-06-24
cest-2.1,JUb39,100pct,2.26,MD,2022-06-24
cest-2.1,JUb39,100pct,5.91,MD,2022-06-24
N2,OP50,100pct,5.09,MD,2022-05-22
N2,OP50,100pct,2.54,MD,2022-05-22
N2,OP50,100pct,6.04,MD,2022-05-22
N2,OP50,100pct,2.19,MD,2022-05-22
N2,OP50,100pct,2.64,MD,2022-05-22
N2,OP50,100pct,2.49,MD,2022-05-22
N2,OP50,100pct,5.46,MD,2022-05-22
N2,OP50,100pct,3.34,MD,2022-05-22
