genotype,odor,concentration,response.time,experimenter,date
N2,oct,30pct,9.52,TB,2021-08-10
N2,oct,30pct,8.62,TB,2021-08-10
N2,oct,30pct,7.24,TB,2021-08-10
N2,oct,30pct,3.54,TB,2021-08-10
N2,oct,30pct,4.21,TB,2021-08-10
N2,oct,30pct,3.86,TB,2021-08-10
N2,oct,30pct,5.84,TB,2021-08-10
cest-2.1,oct,30pct,5.34,TB,2021-08-10
cest-2.1,oct,30pct,4.24,TB,2021-08-10
cest-2.1,oct,30pct,5.13,TB,2021-08-10
cest-2.1,oct,30pct,5.76,TB,2021-08-10
cest-2.1,oct,30pct,4.15,TB,2021-08-10
cest-2.1,oct,30pct,3.24,TB,2021-08-10
cest-2.1,oct,30pct,5.85,TB,2021-08-10
cest-2.1,oct,30pct,3.46,TB,2021-08-10
cest-2.1,oct,30pct,3.53,TB,2021-08-10
