Genotype,Condition,Odor,Response.time,Experimenter,Date,,,
N2,control,30pct,2.1,MOD,2021-08-05,,,
N2,control,30pct,3.1,MOD,2021-08-05,,,
N2,control,30pct,3.5,MOD,2021-08-05,,,
N2,control,30pct,3.2,MOD,2021-08-05,,,
N2,control,30pct,3.2,MOD,2021-08-05,,,
N2,control,30pct,2.7,MOD,2021-08-05,,,
N2,control,30pct,7,MOD,2021-08-05,,,
N2,control,30pct,13,MOD,2021-08-05,,,
N2,control,30pct,6.7,MOD,2021-08-05,,,
N2,control,30pct,2.2,MOD,2021-08-05,,,
N2,control,30pct,2.4,MOD,2021-08-05,,,
N2,control,30pct,7.3,MOD,2021-08-05,,,
N2,control,30pct,4.4,MOD,2021-08-05,,,
N2,control,30pct,3.3,MOD,2021-08-05,,,
N2,control,30pct,7.7,MOD,2021-08-05,,,
N2,control,30pct,2.5,MOD,2021-08-05,,,
N2,control,30pct,1.5,MOD,2021-08-05,,,
N2,control,30pct,13.7,MOD,2021-08-05,,,
N2,control,30pct,6.2,MOD,2021-08-05,,,
N2,control,30pct,7.7,MOD,2021-08-05,,,
N2,control,30pct,5.5,MOD,2021-08-05,,,
N2,control,30pct,2,MOD,2021-08-05,,,
N2,control,30pct,4.4,MOD,2021-08-05,,,
N2,control,30pct,13.3,MOD,2021-08-05,,,
cest-2.1,control,30pct,1.6,MOD,2021-08-05,,,
cest-2.1,control,30pct,2.4,MOD,2021-08-05,,,
cest-2.1,control,30pct,1.5,MOD,2021-08-05,,,
cest-2.1,control,30pct,2,MOD,2021-08-05,,,
cest-2.1,control,30pct,2.3,MOD,2021-08-05,,,
cest-2.1,control,30pct,2.4,MOD,2021-08-05,,,
cest-2.1,control,30pct,12,MOD,2021-08-05,,,
cest-2.1,control,30pct,3.1,MOD,2021-08-05,,,
cest-2.1,control,30pct,5.8,MOD,2021-08-05,,,
cest-2.1,control,30pct,2.3,MOD,2021-08-05,,,
cest-2.1,control,30pct,1.9,MOD,2021-08-05,,,
cest-2.1,control,30pct,1.9,MOD,2021-08-05,,,
cest-2.1,control,30pct,1.8,MOD,2021-08-05,,,
cest-2.1,control,30pct,1.7,MOD,2021-08-05,,,
cest-2.1,control,30pct,4.7,MOD,2021-08-05,,,
cest-2.1,control,30pct,3.9,MOD,2021-08-05,,,
cest-2.1,control,30pct,4.3,MOD,2021-08-05,,,
cest-2.1,control,30pct,4.7,MOD,2021-08-05,,,
cest-2.1,control,30pct,1.7,MOD,2021-08-05,,,
cest-2.1,control,30pct,7.9,MOD,2021-08-05,,,
cest-2.1,control,30pct,2.1,MOD,2021-08-05,,,
cest-2.1,control,30pct,1.6,MOD,2021-08-05,,,
cest-2.1,control,30pct,1.6,MOD,2021-08-05,,,
cest-2.1,control,30pct,1.3,MOD,2021-08-05,,,
cest-2.1,control,30pct,3.3,MOD,2021-08-05,,,
N2,control,30pct,9.52,TB,2021-08-10,,,
N2,control,30pct,8.62,TB,2021-08-10,,,
N2,control,30pct,7.24,TB,2021-08-10,,,
N2,control,30pct,3.54,TB,2021-08-10,,,
N2,control,30pct,4.21,TB,2021-08-10,,,
N2,control,30pct,3.86,TB,2021-08-10,,,
N2,control,30pct,5.84,TB,2021-08-10,,,
cest-2.1,control,30pct,5.34,TB,2021-08-10,,,
cest-2.1,control,30pct,4.24,TB,2021-08-10,,,
cest-2.1,control,30pct,5.13,TB,2021-08-10,,,
