Genotype,Condition,Odor,Response.time,Experimenter,Date
N2,24hr4mMTA,30pct,2.81,TB,2023-12-09
N2,24hr4mMTA,30pct,5.86,TB,2023-12-09
N2,24hr4mMTA,30pct,5.67,TB,2023-12-09
N2,24hr4mMTA,30pct,3.69,TB,2023-12-09
N2,24hr4mMTA,30pct,2.9,TB,2023-12-09
N2,24hr4mMTA,30pct,3.38,TB,2023-12-09
N2,24hr4mMTA,30pct,4.72,TB,2023-12-09
N2,24hr4mMTA,30pct,5.38,TB,2023-12-09
N2,24hr4mMTA,30pct,5.14,TB,2023-12-09
N2,24hr4mMTA,30pct,4.21,TB,2023-12-09
N2,24hr4mMTA,30pct,5.19,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,3.28,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,2.72,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,4.36,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,4.02,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,2.9,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,4.09,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,3.55,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,2.22,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,4.17,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,3.22,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,1.82,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,2.49,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,2.41,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,3.18,TB,2023-12-09
N2,24hr4mMTA,30pct,6.48,TB,2023-12-09
N2,24hr4mMTA,30pct,4.95,TB,2023-12-09
N2,24hr4mMTA,30pct,5.24,TB,2023-12-09
N2,24hr4mMTA,30pct,4.76,TB,2023-12-09
N2,24hr4mMTA,30pct,4.02,TB,2023-12-09
N2,24hr4mMTA,30pct,3.78,TB,2023-12-09
N2,24hr4mMTA,30pct,4.15,TB,2023-12-09
N2,24hr4mMTA,30pct,4.19,TB,2023-12-09
N2,24hr4mMTA,30pct,3.39,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,3.68,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,3.19,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,2.54,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,2.8,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,4.35,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,3.39,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,2.88,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,3.92,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,4.21,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,1.93,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,3.08,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,2.55,TB,2023-12-09
cest-2.1,24hr4mMTA,30pct,1.31,TB,2024-03-02
