genotype,odor,response.time,experimenter,date
N2,30pct_oct,2.1,MOD,8/5/2021
N2,30pct_oct,3.1,MOD,8/5/2021
N2,30pct_oct,3.5,MOD,8/5/2021
N2,30pct_oct,3.2,MOD,8/5/2021
N2,30pct_oct,3.2,MOD,8/5/2021
N2,30pct_oct,2.7,MOD,8/5/2021
N2,30pct_oct,7,MOD,8/5/2021
N2,30pct_oct,13,MOD,8/5/2021
N2,30pct_oct,6.7,MOD,8/5/2021
N2,30pct_oct,2.2,MOD,8/5/2021
N2,30pct_oct,2.4,MOD,8/5/2021
N2,30pct_oct,7.3,MOD,8/5/2021
N2,30pct_oct,4.4,MOD,8/5/2021
N2,30pct_oct,3.3,MOD,8/5/2021
N2,30pct_oct,7.7,MOD,8/5/2021
N2,30pct_oct,2.5,MOD,8/5/2021
N2,30pct_oct,1.5,MOD,8/5/2021
N2,30pct_oct,13.7,MOD,8/5/2021
N2,30pct_oct,6.2,MOD,8/5/2021
N2,30pct_oct,7.7,MOD,8/5/2021
N2,30pct_oct,5.5,MOD,8/5/2021
N2,30pct_oct,2,MOD,8/5/2021
N2,30pct_oct,4.4,MOD,8/5/2021
N2,30pct_oct,13.3,MOD,8/5/2021
cest-2.1,30pct_oct,1.6,MOD,8/5/2021
cest-2.1,30pct_oct,2.4,MOD,8/5/2021
cest-2.1,30pct_oct,1.5,MOD,8/5/2021
cest-2.1,30pct_oct,2,MOD,8/5/2021
cest-2.1,30pct_oct,2.3,MOD,8/5/2021
cest-2.1,30pct_oct,2.4,MOD,8/5/2021
cest-2.1,30pct_oct,12,MOD,8/5/2021
cest-2.1,30pct_oct,3.1,MOD,8/5/2021
cest-2.1,30pct_oct,5.8,MOD,8/5/2021
cest-2.1,30pct_oct,2.3,MOD,8/5/2021
cest-2.1,30pct_oct,1.9,MOD,8/5/2021
cest-2.1,30pct_oct,1.9,MOD,8/5/2021
cest-2.1,30pct_oct,1.8,MOD,8/5/2021
cest-2.1,30pct_oct,1.7,MOD,8/5/2021
cest-2.1,30pct_oct,4.7,MOD,8/5/2021
cest-2.1,30pct_oct,3.9,MOD,8/5/2021
cest-2.1,30pct_oct,4.3,MOD,8/5/2021
cest-2.1,30pct_oct,4.7,MOD,8/5/2021
cest-2.1,30pct_oct,1.7,MOD,8/5/2021
cest-2.1,30pct_oct,7.9,MOD,8/5/2021
cest-2.1,30pct_oct,2.1,MOD,8/5/2021
cest-2.1,30pct_oct,1.6,MOD,8/5/2021
cest-2.1,30pct_oct,1.6,MOD,8/5/2021
cest-2.1,30pct_oct,1.3,MOD,8/5/2021
cest-2.1,30pct_oct,3.3,MOD,8/5/2021
N2,30pct_oct,9.52,TB,8/10/2021
N2,30pct_oct,8.62,TB,8/10/2021
N2,30pct_oct,7.24,TB,8/10/2021
N2,30pct_oct,3.54,TB,8/10/2021
N2,30pct_oct,4.21,TB,8/10/2021
N2,30pct_oct,3.86,TB,8/10/2021
N2,30pct_oct,5.84,TB,8/10/2021
cest 2.1,30pct_oct,5.34,TB,8/10/2021
cest 2.1,30pct_oct,4.24,TB,8/10/2021
cest 2.1,30pct_oct,5.13,TB,8/10/2021
cest 2.1,30pct_oct,5.76,TB,8/10/2021
cest 2.1,30pct_oct,4.15,TB,8/10/2021
cest 2.1,30pct_oct,3.24,TB,8/10/2021
cest 2.1,30pct_oct,5.85,TB,8/10/2021
cest 2.1,30pct_oct,3.46,TB,8/10/2021
cest 2.1,30pct_oct,3.53,TB,8/10/2021
N2,30pct_oct,1.99,JB,8/10/2021
N2,30pct_oct,2.58,JB,8/10/2021
N2,30pct_oct,5.41,JB,8/10/2021
N2,30pct_oct,4.64,JB,8/10/2021
N2,30pct_oct,2.63,JB,8/10/2021
N2,30pct_oct,6.8,JB,8/10/2021
N2,30pct_oct,2.52,JB,8/10/2021
N2,30pct_oct,3.68,JB,8/10/2021
N2,30pct_oct,1.78,JB,8/10/2021
N2,30pct_oct,2.03,JB,8/10/2021
N2,30pct_oct,5.06,JB,8/10/2021
N2,30pct_oct,6.68,JB,8/10/2021
N2,30pct_oct,8.19,JB,8/10/2021
N2,30pct_oct,3.3,JB,8/10/2021
N2,30pct_oct,4.76,JB,8/10/2021
N2,30pct_oct,4.83,JB,8/10/2021
N2,30pct_oct,3.77,JB,8/10/2021
N2,30pct_oct,2.66,JB,8/10/2021
N2,30pct_oct,3.79,JB,8/10/2021
N2,30pct_oct,8.47,JB,8/10/2021
cest 2.1,30pct_oct,7.34,JB,8/10/2021
cest 2.1,30pct_oct,1.99,JB,8/10/2021
cest 2.1,30pct_oct,3.17,JB,8/10/2021
cest 2.1,30pct_oct,3.01,JB,8/10/2021
cest 2.1,30pct_oct,3.79,JB,8/10/2021
cest 2.1,30pct_oct,3.17,JB,8/10/2021
cest 2.1,30pct_oct,3.34,JB,8/10/2021
cest 2.1,30pct_oct,6.68,JB,8/10/2021
cest 2.1,30pct_oct,5.29,JB,8/10/2021
cest 2.1,30pct_oct,1.61,JB,8/10/2021
cest 2.1,30pct_oct,4.42,JB,8/10/2021
cest 2.1,30pct_oct,9.12,JB,8/10/2021
cest 2.1,30pct_oct,1.21,JB,8/10/2021
cest 2.1,30pct_oct,2.35,JB,8/10/2021
cest 2.1,30pct_oct,3.49,JB,8/10/2021
cest 2.1,30pct_oct,1.73,JB,8/10/2021
cest 2.1,30pct_oct,3.3,JB,8/10/2021
cest 2.1,30pct_oct,2.89,JB,8/10/2021
cest 2.1,30pct_oct,4.86,JB,8/10/2021
cest 2.1,30pct_oct,2.46,JB,8/10/2021
